Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Product_Category,Product_Name,Quantity,Sales_Amount,Discount_Percent,Profit,Shipping_Cost,Payment_Method,Delivery_Days,Customer_Rating
ORD20251010000,2025-10-03,CUST1076,Daniel Garcia,South,Chennai,Electronics,Headphones,5,14049.89,5,1727.16,60.46,UPI,3,2.0
ORD20251010001,2025-10-22,CUST1127,Ricardo Martin,South,Bangalore,Electronics,Headphones,5,13958.28,15,3282.33,237.37,Credit Card,7,2.0
ORD20251010002,2025-10-26,CUST1090,James Hoffman,North,Delhi,Grocery,Rice Bag,2,2852.49,10,524.81,152.93,Credit Card,3,2.0
ORD20251010003,2025-10-26,CUST1055,James Martin DVM,South,Chennai,Grocery,Rice Bag,4,5357.52,5,642.54,279.61,,2,1.0
ORD20251010004,2025-10-22,CUST1098,Eric Williams,West,Pune,Grocery,Dry Fruits,3,6560.27,0,1169.67,119.78,Cash,6,5.0
ORD20251010005,2025-10-11,CUST1014,John Leonard,West,Mumbai,Electronics,Headphones,2,4901.32,10,583.93,199.14,,4,5.0
ORD20251010006,2025-10-17,CUST1059,Thomas Gibson,West,Pune,Grocery,Cooking Oil,3,2812.74,0,661.32,50.42,Credit Card,3,4.0
ORD20251010007,2025-10-03,CUST1169,Sean Douglas,East,Bhubaneswar,Clothing,T-Shirt,3,2232.1,10,422.85,131.55,Credit Card,2,4.0
ORD20251010008,2025-10-22,CUST1194,William Aguilar,South,Bangalore,Furniture,Sofa,4,96077.5,0,19902.62,102.55,,4,4.0
ORD20251010009,2025-10-15,CUST1109,Wayne Hood,East,Kolkata,Grocery,Cooking Oil,1,812.5,10,95.09,208.24,Credit Card,6,3.0
ORD20251010010,2025-10-08,CUST1101,Michelle Cole,East,Bhubaneswar,Furniture,Office Chair,1,7293.63,5,1485.7,202.82,Cash,4,5.0
ORD20251010011,2025-10-07,CUST1196,Beth Garrison,North,Jaipur,Grocery,Tea Pack,2,979.65,5,196.12,51.39,UPI,7,4.0
ORD20251010012,2025-10-08,CUST1090,James Hoffman,North,Delhi,Grocery,Rice Bag,5,7719.9,5,591.87,80.34,Cash,6,5.0
ORD20251010013,2025-10-18,CUST1162,Richard Hansen,South,Chennai,Grocery,Tea Pack,5,2293.81,15,332.45,235.91,Debit Card,7,2.0
ORD20251010014,2025-10-27,CUST1141,Bernard Brown,North,Jaipur,Grocery,Cooking Oil,3,2101.06,15,219.23,121.43,,5,1.0
ORD20251010015,2025-10-05,CUST1077,David Washington,North,Jaipur,Furniture,Bookshelf,2,10406.44,5,1649.65,151.9,Cash,1,2.0
ORD20251010016,2025-10-27,CUST1215,Paul Murphy,South,Bangalore,Grocery,Rice Bag,5,6345.65,15,696.26,285.69,Cash,7,4.0
ORD20251010017,2025-10-18,CUST1279,Margaret Brown,South,Bangalore,Furniture,Bookshelf,2,10661.41,10,1249.79,57.26,Cash,6,2.0
ORD20251010018,2025-10-27,CUST1239,Amber Bowen,North,Jaipur,Furniture,Office Chair,4,25670.11,0,5733.94,157.15,Credit Card,1,3.0
ORD20251010019,2025-10-13,CUST1167,Natalie Martinez,North,Jaipur,Furniture,Bookshelf,3,17046.39,10,3416.13,144.78,Cash,3,1.0
ORD20251010020,2025-10-16,CUST1009,Jennifer Brown,West,Mumbai,Electronics,Headphones,2,6337.48,0,1272.86,212.94,Credit Card,2,1.0
ORD20251010021,2025-10-20,CUST1078,Gabrielle Carter,East,Bhubaneswar,Furniture,Study Table,4,40511.76,0,7692.9,104.49,Debit Card,2,5.0
ORD20251010022,2025-10-20,CUST1058,Miguel Francis,South,Bangalore,Furniture,Sofa,1,27144.44,0,6286.79,193.95,Cash,4,2.0
